UNK
?
!
...
아
나
ㅋㅋ
근데
)
(
Photo
진짜
난
.
ㅋㅋㅋ
다
ㅇㅇ
;
아니
내가
안
나도
그럼
지금
그
왜
''
emoticon
좀
헐
그냥
이거
우리
..
이제
ㅋㅋㅋㅋ
오빠
너무
와
또
ㅅㅂ
뭐
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오늘
ㅋㅋㅋㅋㅋ
더
내
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그거
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너
ㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
거
이
ㅋㅋㅋㅋㅋㅋㅋ
ㅇㅅㅇ
수희
``
저
나는
미친
잘
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그래서
내일
언니
:
오
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋ
ㅠㅠ
+
오빠가
한
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
>
그래
야
수
<
저거
무슨
사람
다들
빨리
존나
수희야
그리고
ㅎ
아직
ㅇㅇㅇ
-
계속
같이
너가
그렇게
걍
막
졸라
여기
아냐
어떻게
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
해
제발
많이
그니까
일단
정말
뭘
이미
못
뭔
유경이
낼
하
이렇게
그건
응
아니야
아니면
다시
개
어제
그런
그게
사람이
하나
이건
아마
ㅠㅠㅠ
역시
그래도
아님
응응
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
넌
우리가
뭐야
아니라
갑자기
원래
이게
거기
몰라
함
완전
누가
가서
이런
&
있어
ㅜㅜ
--
유경아
아까
딱
바로
하면
나랑
아니고
대체
수업
그러면
ㄴㄴ
하고
저녁
수희가
맞아
언제
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
거의
뭐지
집
%
ㅇㅋ
어차피
나한테
쟤
나중에
요즘
방금
안돼
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
할
흑
그걸
절레절레
날
말
설마
흑흑
하지만
다른
다이어트
http
먹고
점심
수희는
어디서
돼
후
하지
있음
어떤
마쟈
오빠는
말고
레알
사진
혜부기
1
어케
싶다
보고
제가
없어
곧
https
넘
희희
혜빈이
뭔가
제일
자꾸
학교
아예
나옴
사실
있는
ㅜ
말을
같아
어
이걸
있는데
랩노쉬
